topic_id,num_posts,topic_keywords
-1,462,-1_track_through_issues_lines
0,63,0_card_charliecard_payment_cards
1,45,1_northbound_passengers_park_track
2,27,2_amtrak_infrastructure_stations_providence
3,26,3_assaulted_emergency_situation_yelling
4,24,4_buses_traffic_stops_hour
5,23,5_tracks_disruption_track_delays
6,22,6_delays_delayed_5pm_schedule
7,21,7_fiscal_budget_spending_funding
8,20,8_busway_lanes_traffic_lexington
9,19,9_outage_delays_surge_signal
10,19,10_traintracker_track_cars_rl
11,19,11_downtown_commute_fare_trip
12,18,12_mbtaslowzonebot_issue_proximit_complaint
13,18,13_redline_delays_delay_delayed
14,17,14_amtrak_schedules_schedule_delays
15,15,15_transportation_buses_travel_moving
16,15,16_fitchburg_delays_delayed_freight
17,14,17_passengers_doors_door_conductor
18,14,18_escalator_escalators_stairs_elevators
19,13,19_noise_passengers_beeping_yelling
20,13,20_buses_shuttles_shuttle_airport
21,12,21_jfk_trashing_ground_trash
22,11,22_fares_fare_enforcement_evaders
23,11,23_eng_gm_riders_gbh
24,9,24_headways_headway_inconsistent_consistent
25,9,25_as_messy_as_a_orange_line_shutdown_isa_red_line_shutdown_shutting_down
26,9,26_glx_somerville_delays_stations
27,9,27_lost_finding_backpack_locations
28,8,28_keolis_stations_nycs_staff
29,8,29_stadium_foxboro_ubering_gillette
30,8,30_bedford_bussing_moving_rockport
31,8,31_safety_passengers_railroad_heat
32,8,32_buses_parking_driving_parked
33,8,33_shortages_shortage_delays_deliveries
34,7,34_odor_smelling_fumes_smell
35,7,35_newburyport_delays_delay_drawbridge
36,7,36_stations_chinatown_area_areas
37,7,37_moderator_mods_mod_complaints
38,7,38_parking_mbta_parking__parking_park
39,7,39_night_overnight_evening_midnight
40,7,40_i_get_why_they_want_people_at_north_station_to_ticket_scan_scanning
41,7,41_seating_seats_seat_seaters
42,6,42_trainsets_speed_schedule_weekday
43,6,43_braintree_speeds_traveling_branch
44,6,44_best_and_worst_commuter_rail_line_top_5_best_and_worst_bus_routes_top_5_best_and_worst_bus_routes_you_ever_rode_routes
45,6,45_downtown_maps_arborway_tunnel
46,6,46_disruption_delays_signal_disrupt
47,5,47_signal_signals_delays_causes
48,5,48_lyfts_lyft_transportation_trac
49,5,49_track_tracks_shuttles_shuttle
50,5,50_rebuilding_infrastructure_cleanup_safety
